1;3221.00;14.18;1284.00;big
1;1864.00;10.73;1679.00;big
2;1823.00;9.50;2348.00;big
2;1712.00;9.50;2631.00;big
3;3944.00;9.50;749.00;big
3;4026.00;9.50;647.00;big
4;3373.00;9.50;1697.00;big
4;3636.00;9.50;1446.00;big
5;3237.00;9.50;61.00;big
5;3035.00;9.50;177.00;big
6;2144.00;9.50;2520.00;big
6;2212.00;9.50;2892.00;big
7;857.00;11.15;1018.00;big
7;945.00;11.68;1033.00;big
8;747.00;10.60;875.00;big
8;727.00;12.28;800.00;big
9;767.00;11.30;1047.00;big
9;700.00;14.05;956.00;big
10;623.00;13.03;1067.00;big
10;695.00;12.53;1118.00;big
11;478.00;12.65;1133.00;big
11;563.00;13.75;1151.00;big
12;558.00;11.90;938.00;big
12;560.00;12.90;1008.00;big
13;543.00;11.90;858.00;big
13;649.00;12.23;870.00;big
14;676.00;11.03;766.00;big
14;595.00;15.43;765.00;big
15;574.00;13.57;702.00;big
15;496.00;12.78;714.00;big
16;393.00;10.28;762.00;big
16;503.00;11.07;780.00;big
17;403.00;11.05;870.00;big
17;426.00;11.60;973.00;big
18;371.00;12.20;1098.00;big
18;382.00;11.98;1197.00;big
19;358.00;11.73;1022.00;big
19;308.00;10.80;985.00;big
20;274.00;10.78;805.00;big
20;289.00;10.32;917.00;big
21;824.00;9.50;834.00;big
21;969.00;10.50;849.00;big
22;758.00;9.50;679.00;big
22;508.00;9.50;643.00;big
23;1418.00;9.50;634.00;big
23;1420.00;9.50;415.00;big
24;1016.00;9.50;665.00;big
24;1194.00;9.50;664.00;big
25;1341.00;9.50;814.00;big
25;1182.00;9.50;792.00;big
26;240.00;9.50;582.00;big
26;290.00;9.50;715.00;big
27;229.00;9.50;1234.00;big
27;171.00;9.50;945.00;big
28;695.00;9.50;1247.00;big
28;448.00;9.50;1294.00;big
29;658.00;9.50;1457.00;big
29;482.00;9.50;1494.00;big
30;53.00;9.50;930.00;big
30;45.00;9.50;1283.00;big
31;59.00;9.50;647.00;big
31;64.00;9.50;427.00;big
32;191.00;9.50;1737.00;big
32;128.00;9.50;2492.00;big
33;303.00;9.50;2819.00;big
33;672.00;9.50;2883.00;big
34;623.00;9.50;2487.00;big
34;899.00;9.50;2656.00;big
35;394.00;9.50;2169.00;big
35;350.00;9.50;2429.00;big
36;413.00;9.50;1760.00;big
36;496.00;9.50;2038.00;big
37;705.00;9.50;2002.00;big
37;695.00;9.50;1873.00;big
38;895.00;9.50;2284.00;big
38;649.00;9.50;2270.00;big
39;656.00;9.50;1626.00;big
39;641.00;9.50;1733.00;big
40;976.00;9.50;1708.00;big
40;814.00;9.50;1628.00;big
41;1213.00;9.50;1923.00;big
41;1094.00;9.50;1826.00;big
42;944.00;9.50;2019.00;big
42;977.00;9.50;1865.00;big
43;1076.00;9.50;2192.00;big
43;1209.00;9.50;2090.00;big
44;1380.00;9.50;2136.00;big
44;1473.00;9.50;1945.00;big
45;1713.00;9.50;2056.00;big
45;1681.00;9.50;2213.00;big
46;1063.00;9.50;2462.00;big
46;1216.00;9.50;2675.00;big
47;1089.00;9.50;2982.00;big
47;1416.00;9.50;2969.00;big
48;1370.00;9.50;991.00;big
48;1288.00;9.50;1073.00;big
49;1457.00;9.50;859.00;big
49;1557.00;9.50;873.00;big
50;1665.00;9.50;748.00;big
50;1547.00;9.50;642.00;big
51;1610.00;9.50;526.00;big
51;1760.00;9.50;573.00;big
52;1837.00;9.50;863.00;big
52;1808.00;9.50;768.00;big
53;1781.00;9.50;962.00;big
53;1819.00;9.50;1000.00;big
54;1695.00;9.50;1068.00;big
54;1603.00;9.50;1106.00;big
55;1539.00;9.50;1185.00;big
55;1512.00;9.50;1257.00;big
56;1931.00;9.50;693.00;big
56;2101.00;9.50;628.00;big
57;1898.00;9.50;318.00;big
57;1652.00;9.50;357.00;big
58;2335.00;9.50;559.00;big
58;2216.00;9.50;635.00;big
59;2246.00;9.50;991.00;big
59;2168.00;9.50;870.00;big
60;2318.00;9.50;728.00;big
60;2440.00;9.50;679.00;big
61;2363.00;9.50;433.00;big
61;2178.00;9.50;445.00;big
62;2549.00;9.50;487.00;big
62;2780.00;9.50;502.00;big
63;2889.00;9.50;569.00;big
63;2916.00;9.50;710.00;big
64;2629.00;9.50;714.00;big
64;2803.00;9.50;770.00;big
65;1015.00;9.50;1085.00;big
65;1141.00;9.50;1014.00;big
66;2358.00;9.50;1222.00;big
66;2488.00;9.50;1172.00;big
67;2445.00;9.50;1317.00;big
67;2458.00;9.50;1419.00;big
68;2674.00;9.50;1413.00;big
68;2634.00;9.50;1264.00;big
69;2936.00;9.50;1288.00;big
69;2840.00;9.50;1389.00;big
70;2733.00;9.50;1576.00;big
70;2648.00;9.50;1508.00;big
71;1279.00;10.30;822.00;big
71;1300.00;11.57;932.00;big
72;871.00;10.80;1145.00;big
72;987.00;12.30;1169.00;big
73;770.00;10.30;1168.00;big
73;834.00;10.25;1239.00;big
74;1110.00;11.35;1128.00;big
74;1188.00;15.65;1167.00;big
75;1015.00;11.53;1292.00;big
75;1126.00;11.85;1260.00;big
76;926.00;11.53;1313.00;big
76;834.00;10.45;1340.00;big
77;809.00;10.30;1462.00;big
77;698.00;10.73;1522.00;big
78;824.00;10.40;1566.00;big
78;918.00;10.45;1567.00;big
79;952.00;10.60;1392.00;big
79;912.00;10.43;1444.00;big
80;992.00;10.30;1514.00;big
80;945.00;10.60;1502.00;big
81;1031.00;10.30;1589.00;big
81;981.00;10.25;1644.00;big
82;1216.00;11.98;1484.00;big
82;1146.00;10.70;1532.00;big
83;1105.00;11.05;1480.00;big
83;1083.00;10.50;1542.00;big
84;1052.00;11.82;1399.00;big
84;1154.00;10.98;1400.00;big
85;1121.00;10.93;1629.00;big
85;1156.00;11.15;1586.00;big
86;1047.00;10.10;1688.00;big
86;1105.00;10.28;1665.00;big
