2;arms_factory;883.00;11.53;994.00;3.95;0
2;arms_factory;894.00;10.75;988.00;5.16;0
2;arms_factory;909.00;10.88;986.00;3.00;0
2;arms_factory;875.00;10.78;977.00;4.56;0
2;arms_factory;888.00;11.03;992.00;0.94;0
2;arms_factory;935.00;10.68;1006.00;3.60;0
2;industrial_complex;901.00;10.82;989.00;1.44;0
2;industrial_complex;875.00;10.70;975.00;1.55;0
2;industrial_complex;920.00;10.90;1004.00;5.67;0
2;industrial_complex;886.00;11.38;993.00;2.05;0
2;industrial_complex;897.00;11.43;986.00;4.71;0
2;industrial_complex;917.00;10.55;998.00;1.45;0
2;air_base;875.00;10.82;976.00;4.11;0
2;naval_base;880.00;9.60;973.00;0.00;18949
2;naval_base;927.00;10.20;991.00;0.38;18821
2;naval_base;887.00;10.18;974.00;0.17;18949
2;naval_base;922.00;9.93;989.00;0.56;18821
2;naval_base;899.00;9.60;975.00;0.00;18949
2;naval_base;934.00;9.55;994.00;-0.52;18821
2;bunker;902.00;10.75;984.00;4.62;0
2;bunker;882.00;11.62;996.00;5.83;0
2;bunker;911.00;10.57;993.00;3.67;0
2;bunker;945.00;10.45;1000.00;0.40;0
2;bunker;926.00;10.25;991.00;1.61;0
2;bunker;870.00;10.78;977.00;5.73;0
2;bunker;894.00;10.85;980.00;2.12;0
2;coastal_bunker;908.00;10.10;977.00;0.64;0
2;coastal_bunker;914.00;9.80;980.00;0.56;0
2;coastal_bunker;941.00;9.55;996.00;0.79;0
2;coastal_bunker;873.00;9.85;972.00;0.00;0
2;coastal_bunker;928.00;10.28;992.00;0.38;0
2;coastal_bunker;887.00;9.50;973.00;0.17;0
2;dockyard;881.00;9.60;973.00;0.00;0
2;anti_air_building;882.00;11.15;985.00;4.18;0
2;anti_air_building;912.00;10.50;985.00;0.57;0
2;anti_air_building;868.00;10.65;977.00;4.69;0
2;synthetic_refinery;890.00;10.73;983.00;5.90;0
2;fuel_silo;939.00;10.45;1005.00;2.63;0
2;radar_station;864.00;9.50;969.00;6.09;0
2;rocket_site;907.00;10.55;987.00;1.68;0
2;nuclear_reactor;930.00;10.88;1003.00;4.34;0
3;arms_factory;867.00;11.05;984.00;3.00;0
3;arms_factory;905.00;11.93;1002.00;4.56;0
3;arms_factory;892.00;11.30;1013.00;0.94;0
3;arms_factory;863.00;12.23;999.00;3.60;0
3;arms_factory;913.00;12.12;1015.00;1.44;0
3;arms_factory;874.00;11.85;1025.00;1.55;0
